ItemID,KoreanName
item_wood,나무
resource_stone,돌
item_plant_fiber,식물 섬유
item_iron_ore,철광석
item_arrow,화살
item_animal_feed,가축 사료
item_pearl,진주
item_scrap_parts,고철 부품
item_spider_silk,거미줄 실
resource_worm_bait,지렁이 미끼
resource_fish_trout,송어
resource_fish_smelt,빙어
resource_fish_crucian,붕어
resource_fish_catfish,메기
resource_fish_golden_carp,황금 잉어
item_wild_mushroom,야생 버섯
item_vitality_potion,활력 물약
food_apple,사과
food_berry,산딸기
food_baked_apple,구운 사과
food_potato,감자
food_pumpkin,호박
food_strawberry,딸기
food_tomato,토마토
food_winter_radish,겨울 무
food_egg,달걀
food_fried_egg,달걀 프라이
food_warm_milk,따뜻한 우유
food_veggie_omelette,채소 오믈렛
food_baked_potato,구운 감자
food_grilled_fish,생선구이
food_mushroom_skewer,버섯 꼬치
food_pumpkin_soup,호박 수프
food_tomato_stew,토마토 스튜
food_golden_feast,황금 잉어 만찬
food_grilled_clams,조개구이
food_inari_sushi,유부초밥
food_seaweed_salad,해초 샐러드
food_sweet_jelly,달콤한 젤리
drink_water_bottle,물병
drink_milk,우유
item_herbal_tea,약초차
medicine_bandage,붕대
medicine_antidote,해독제
medicine_desert_salve,사막 연고
medicine_flower_balm,꽃 향유
seed_potato,씨감자
seed_pumpkin,호박 씨앗
seed_strawberry,딸기 씨앗
seed_tomato,토마토 씨앗
seed_winter_radish,겨울 무 씨앗
tool_axe,도끼
tool_pickaxe,곡괭이
tool_hoe,괭이
tool_watering_can,물뿌리개
tool_fishing_rod_basic,낚싯대
item_iron_axe,철 도끼
weapon_bow,활
equipment_cloth_cap,천 모자
equipment_cloth_shirt,천 셔츠
equipment_work_hat,작업 모자
equipment_small_backpack,작은 가방
item_torch,횃불
resource_coal,석탄
resource_copper_ore,구리 광석
resource_silver_ore,은 광석
resource_gold_ore,금 광석
resource_crystal,수정
resource_meteorite_shard,운석 조각
resource_gem_ruby,루비
resource_gem_sapphire,사파이어
resource_gem_emerald,에메랄드
resource_gem_amethyst,자수정
resource_gem_diamond,다이아몬드
resource_ingot_copper,구리 주괴
resource_ingot_iron,철 주괴
resource_ingot_silver,은 주괴
resource_ingot_gold,금 주괴
resource_ingot_steel,강철 주괴
resource_ingot_meteorite,운석 주괴
tool_pickaxe_copper,구리 곡괭이
tool_pickaxe_iron,철 곡괭이
tool_pickaxe_steel,강철 곡괭이
tool_axe_copper,구리 도끼
tool_axe_steel,강철 도끼
food_small_meat,작은 고기
food_red_meat,붉은 고기
food_bear_meat,곰 고기
food_crab_meat,게살
resource_small_hide,작은 가죽
resource_thick_hide,두꺼운 가죽
resource_fine_pelt,고급 털가죽
resource_wool,두꺼운 털
resource_scale,도마뱀 비늘
resource_feather,깃털
resource_antler,뿔
resource_beast_fang,짐승 이빨
resource_stinger,독침
resource_crab_shell,게 껍데기
resource_tanned_leather,무두질 가죽
resource_butterfly,나비
resource_firefly,반딧불이
food_roast_meat,구운 고기
food_meat_stew,고기 스튜
food_venison_steak,사슴 스테이크
food_crab_soup,게살 수프
equipment_leather_backpack,가죽 가방
equipment_leather_hat,가죽 모자
equipment_winter_coat,겨울 외투
tool_net,채집망
weapon_fine_bow,좋은 활
resource_bat_wing,박쥐 날개
resource_venom_fang,독니
resource_crystal_heart,수정 심장
weapon_crystal_sword,수정 검
equipment_crystal_armor,수정 갑옷
food_baked_sweet_potato,고구마 구이
food_bamboo_shoot,죽순
food_bamboo_stirfry,죽순 볶음
food_berry_drink,나무딸기 음료
food_big_mushroom,큰 버섯
food_cabbage,양배추
food_cabbage_wrap,양배추 쌈
food_chestnut,밤
food_corn,옥수수
food_greens_salad,나물 무침
food_grilled_corn,옥수수 구이
food_mushroom_hotpot,버섯 전골
food_persimmon,감
food_plum,자두
food_raspberry,나무딸기
food_roast_chestnut,군밤
food_sweet_potato,고구마
medicine_winter_tonic,겨울 약
resource_acorn,도토리
resource_bamboo,대나무
resource_dry_branch,마른 가지
resource_herb_leaf,약초 잎
resource_ice_flower,얼음꽃
resource_pine_cone,솔방울
resource_sapling_apple,사과나무 묘목
resource_sapling_persimmon,감나무 묘목
resource_sapling_plum,자두나무 묘목
resource_wild_flower,들꽃
resource_wild_greens,산나물
seed_cabbage,양배추 씨앗
seed_corn,옥수수 씨앗
seed_sweet_potato,고구마 씨앗
