CharacterID,Role,RequiredStage,Power,Interval,Loot,JoinLine,LeaveLine,NightLine,RefuseLine,RoleLine,IdleLines
char_verona,Fighter,Trust,18,2,,"좋다. 네 앞길은 내가 지켜 주지.","오늘은 여기까지. 몸조심해라.","밤이 깊었다. 이만 돌아가 쉬어라.","…아직은 네 등을 맡길 사이가 아니야.","물러서라.","땅이 단단하군. 좋은 길이야.|서두르지 마라. 섬은 도망가지 않아.|바람에서 비 냄새가 난다."
char_chesca,Fighter,Trust,9,1.1,,"…같이 가도 돼? 탁— 나, 쓸모 있을 거야.","…응. 오늘 모은 기억, 상자에 넣어 둘게.","…어두워. 상자 안이 제일 안전해. 돌아갈게.","…아직은, 뚜껑을 열 수 없어.","탁—! 가까이 오지 마!","…저 돌, 반짝이지 않아?|탁— …아무것도 아니야.|…너랑 걸으면 조금 덜 무서워."
char_liriel,Fighter,Trust,12,1.5,,"좋아, 숲 수호자 리리엘이 함께 가 줄게!","오늘 모험 끝! 재밌었지!","졸려… 숲으로 돌아가서 잘 거야!","음~ 아직은 너를 잘 모르겠는걸? 더 친해지면 갈 거야!","빛의 가시다! 받아랏!","저기 나비 봤어? 봤지!|이 길 끝에 뭐가 있을까? 가 보는 거야!|나무들이 인사하고 있어!"
char_mio,Gatherer,Trust,1,50,resource_fish_crucian|resource_fish_trout|resource_fish_smelt|resource_worm_bait,"좋다냥, 같이 가 주겠다냥. 물가 있으면 알려 달라냥.","오늘은 여기까지다냥. 생선은 나눠 먹는 거다냥.","하암… 졸려서 못 걷겠다냥. 집에 간다냥.","음~ 아직은 귀찮다냥. 좀 더 친해지면 생각해 보겠다냥.","{item} 찾았다냥! 너 줄게냥.","이 섬 바람, 생선 냄새가 난다냥.|느긋하게 가자냥.|저쪽에 물고기 숨어 있을 것 같다냥."
char_neri,Gatherer,Trust,1,45,item_wild_mushroom|food_berry|item_plant_fiber|resource_worm_bait,"개굴! 같이 가면 날씨는 내가 봐 줄게!","오늘 관측 끝! 개굴, 고마워!","밤공기가 차가워… 개굴, 돌아갈래.","개, 개굴… 아직 좀 무서워. 조금만 더 친해지자!","개굴! 여기 {item} 있어!","구름 모양 봐! 내일은 맑을 거야.|습한 바람이다… 개굴.|발밑 조심해! 미끄러워!"
char_lumina,Gatherer,Trust,1,55,food_berry|food_strawberry|food_apple|item_plant_fiber,"…함께라면, 더 많은 꽃을 만날 수 있겠네요.","…오늘의 꽃가루, 잘 간직할게요.","…달빛이 내려와요. 이제 쉬러 갈게요.","…조금만 더, 서로를 알아 가요.","…여기, {item}. 당신에게 줄게요.","…꽃향기가 바람을 타고 와요.|…날개가 가벼운 날이에요.|…저 들판, 반짝이지 않나요?"
char_lunette,Healer,Trust,22,50,,"그, 그러니까요… 제가 옆에서 약초 챙겨 드릴게요.","오늘… 즐거웠어요. 그러니까요, 또 불러 주세요.","밤이에요… 저, 이제 돌아가 볼게요.","그게… 아직은 조금 부끄러워서요…","다, 다쳤어요? 이 약초 드세요…!","이 풀, 약으로 쓸 수 있어요…|귀가 간지러워요, 바람 때문인가 봐요…|천천히 가요. 넘어지면 안 돼요…"
char_aliune,Healer,Trust,32,60,,"좋아요. 당신이 다치지 않게, 제가 곁에 있을게요.","돌아가도 괜찮아요. 하지만 너무 오래 떨어져 있진 말아요.","밤이 됐네요. 온실로 돌아가 쉬어야겠어요.","조금 더… 당신을 알아야 곁에 둘 수 있어요.","가만히 있어요. 금방 나아질 거예요.","잎이 햇빛을 좋아하네요.|당신 곁은 따뜻해요.|무리하지 말아요. 제가 있잖아요."
char_mireille,Healer,Trust,16,40,,"저, 저라도 괜찮다면… 같이 갈게요.","오늘 고마웠어요… 조심히 들어가세요.","양들이 기다려요… 이제 돌아갈게요.","조, 조금만 더 친해지면… 그때 같이 가요.","괜찮아요…? 따뜻한 우유예요, 드세요.","풀 냄새가 좋아요…|저, 겁이 많지만… 오늘은 괜찮아요.|구름이 양처럼 생겼어요."
char_ragh,Fighter,Trust,16,1.6,,…좋다. 네 등 뒤는 내가 맡지.,오늘은 여기까지다. 무사히 돌아가.,밤이다. 야영지 불을 지켜야 해. 돌아간다.,…아직 널 무리로 받아들이지 못했어.,"물러서, 내가 막는다!",바람에 짐승 냄새가 섞였군.|발밑 조심해.|…혼자 걷는 것보다 낫군.
char_censia,Gatherer,Trust,1,50,food_apple|food_potato|item_plant_fiber|drink_water_bottle,"좋아, 짐은 내가 들지. 길만 정해.",운송 끝. 다음에 또 불러.,밤길은 위험해. 마구간으로 돌아간다.,아직은 네 짐을 맡을 사이가 아니야.,"{item}, 네 몫이다. 챙겨.",이 길은 돌이 많군. 표시해 두지.|발굽 박자가 좋아. 오늘은 잘 풀리겠어.|쉬고 싶으면 말해. 기다려 줄게.
char_eiri,Healer,Trust,20,45,,좋아~ 같이 가자! 가는 길 내내 노래 불러 줄게!,오늘 여행도 좋은 노래가 됐어~ 또 보자!,하늘이 어두워졌어. 등대로 돌아갈게~,음~ 아직은 너를 위한 노래가 안 떠올라. 조금 더 친해지자!,괜찮아? 바람의 노래로 달래 줄게~,"후훗, 오늘 바람 좋아~|저 구름 모양, 노래 제목으로 딱이야!|라~ 라라~ 랄라~"
