EventID,Row,Owner,Stage,Location,From,To,Weather,Title,Speaker,Text,Reply,Affinity,Reward
event_lunette_curious,Event,char_lunette,Curious,loc_forest_edge,8,12,Any,숲 가장자리의 약초,,,,,
event_lunette_curious,Line,,,,,,,,npc,"아, 오셨어요…? 지금 잎 뒤에 은빛 털이 있는 풀을 찾고 있었어요.",,,
event_lunette_curious,Line,,,,,,,,npc,"비슷하게 생긴 독초가 있어서… 혼자 찾으면 조금 무서워요.",,,
event_lunette_curious,Choice,,,,,,,,,같이 찾아 줄게.,"정말요…? 그럼… 제 옆에 있어 주세요. 조금만요.",5,
event_lunette_curious,Choice,,,,,,,,,혼자서도 잘할 거야.,"아… 네. 그렇죠. 힘내 볼게요.",1,
event_lunette_curious,After,,,,,,,,npc,"이 풀은 말려서 차에 넣으면 잠이 잘 와요. 다음에 드릴게요.",,,
event_lunette_trust,Event,char_lunette,Trust,loc_village_square,17,20,Any,해 질 녘 광장,,,,,
event_lunette_trust,Line,,,,,,,,npc,"해가 지면… 아직도 가슴이 두근거려요.",,,
event_lunette_trust,Line,,,,,,,,npc,"예전에 살던 숲이 불에 탔던 밤이 생각나서요.",,,
event_lunette_trust,Line,,,,,,,,player,그날 무슨 일이 있었어?,,,
event_lunette_trust,Line,,,,,,,,npc,"모두 흩어졌어요. 저는 풀숲에 숨어서 소리만 듣고 있었어요.",,,
event_lunette_trust,Choice,,,,,,,,,이제는 혼자가 아니야.,"…네. 그 말, 오래 기억할게요.",8,
event_lunette_trust,Choice,,,,,,,,,그만 잊는 게 좋아.,"잊으려고 해도… 쉽지 않아요.",-2,
event_lunette_trust,After,,,,,,,,npc,"들어 주셔서 고마워요. 조금 가벼워졌어요.",,,
event_lunette_affection,Event,char_lunette,Affection,loc_cafe,12,14,Any,창가의 약초차,,,,,item_herbal_tea:2
event_lunette_affection,Line,,,,,,,,npc,"이거… 제가 직접 섞은 약초차예요. 당신 거예요.",,,
event_lunette_affection,Line,,,,,,,,npc,"밤에 잠이 안 올 때 마시면… 제가 옆에 있는 것 같을 거예요.",,,
event_lunette_affection,Choice,,,,,,,,,매일 밤 마실게.,"매, 매일이요…? 그럼 더 많이 만들어야겠네요…!",8,
event_lunette_affection,Choice,,,,,,,,,차보다 네가 좋아.,"에…?! 그, 그런 말은… 귀가 뜨거워져요…",10,
event_lunette_affection,After,,,,,,,,npc,"앞으로도… 가끔 이렇게 같이 있어 주세요.",,,
event_verona_curious,Event,char_verona,Curious,loc_farm_fields,6,12,Any,새벽 밭의 기도,,,,,
event_verona_curious,Line,,,,,,,,npc,쉿. 흙이 숨 쉬는 소리를 듣고 있었다.,,,
event_verona_curious,Line,,,,,,,,npc,너는 흙을 만질 때 무엇을 생각하지?,,,
event_verona_curious,Choice,,,,,,,,,잘 자라 달라고 빌어.,좋은 마음이다. 대지는 그 마음을 기억하지.,5,
event_verona_curious,Choice,,,,,,,,,얼마에 팔릴지 생각해.,"…솔직하군. 그것도 나쁘진 않아.",1,
event_verona_curious,After,,,,,,,,npc,"다음에 씨앗을 심을 때, 한 번만 흙에 인사해 봐.",,,
event_verona_trust,Event,char_verona,Trust,loc_farm_fields,13,18,Any,무너진 신전,,,,,
event_verona_trust,Line,,,,,,,,npc,나는 원래 대지의 신전을 지키던 자였다.,,,
event_verona_trust,Line,,,,,,,,npc,"신전이 무너진 날, 나는 기도하는 법을 잊었지.",,,
event_verona_trust,Choice,,,,,,,,,이 밭이 새 신전이야.,"…밭이 신전이라. 그렇게 생각하니 손이 따뜻해지는군.",8,
event_verona_trust,Choice,,,,,,,,,다시 지으면 되잖아.,"돌은 다시 쌓을 수 있지. 마음은… 천천히 쌓아야 해.",3,
event_verona_trust,After,,,,,,,,npc,오늘은 오랜만에 기도를 해 볼까 한다.,,,
event_verona_affection,Event,char_verona,Affection,loc_cafe,18,20,Any,수확의 약속,,,,,seed_strawberry:6
event_verona_affection,Line,,,,,,,,npc,오늘은 네게 할 말이 있어서 기다렸다.,,,
event_verona_affection,Line,,,,,,,,npc,다음 수확제에… 내 옆에 서 주겠나.,,,
event_verona_affection,Choice,,,,,,,,,영광이야.,"…고맙다. 대지도 분명 기뻐할 거야.",10,
event_verona_affection,Choice,,,,,,,,,생각해 볼게.,서두르지 않아. 씨앗처럼 기다리지.,2,
event_verona_affection,After,,,,,,,,npc,"이 씨앗을 받아. 우리 둘이 키운 딸기를 수확제에 올리자.",,,
event_mio_curious,Event,char_mio,Curious,loc_pond_dock,9,12,Any,찌가 흔들린다냥,,,,,
event_mio_curious,Line,,,,,,,,npc,"쉿! 지금 찌가 움직였다냥…!",,,
event_mio_curious,Line,,,,,,,,npc,"…놓쳤다냥. 네가 소리를 내서 그래!",,,
event_mio_curious,Choice,,,,,,,,,"미안, 다음엔 조용히 할게.","흥, 알면 됐다냥. 옆에 앉아도 돼.",5,
event_mio_curious,Choice,,,,,,,,,원래 못 잡은 거 아냐?,"뭐라고냥?! 두고 봐, 다음엔 꼭 잡을 거다냥!",-2,
event_mio_curious,After,,,,,,,,npc,낚시는 기다리는 거다냥. 같이 기다리면 덜 심심하구냥.,,,
event_mio_trust,Event,char_mio,Trust,loc_village_square,12,14,Any,광장의 낮잠 자리,,,,,
event_mio_trust,Line,,,,,,,,npc,여기가 광장에서 제일 따뜻한 자리다냥. 비밀이야.,,,
event_mio_trust,Line,,,,,,,,npc,옛날엔 배 위에서 살았어. 물 위가 집이었다냥.,,,
event_mio_trust,Choice,,,,,,,,,그래서 물고기를 좋아하는구나.,"물고기도 좋지만… 물 위의 조용함이 더 좋아냥.",6,
event_mio_trust,Choice,,,,,,,,,나도 여기서 낮잠 자도 돼?,"…특별히 허락해 준다냥. 대신 조용히 해!",8,
event_mio_trust,After,,,,,,,,npc,너랑 있으면 낮잠이 더 잘 온다냥.,,,
event_mio_affection,Event,char_mio,Affection,loc_pond_dock,14,18,Any,둘만의 낚시터,,,,,resource_worm_bait:10
event_mio_affection,Line,,,,,,,,npc,"이 자리… 아무한테도 안 알려 준 곳이다냥.",,,
event_mio_affection,Line,,,,,,,,npc,황금 잉어가 가끔 여기까지 올라와. 너한테만 알려 주는 거야.,,,
event_mio_affection,Choice,,,,,,,,,같이 잡자.,"응! 우리 둘이면 전설도 잡을 수 있다냥!",10,
event_mio_affection,Choice,,,,,,,,,혼자 잡아도 돼?,"…그건 좀 서운하다냥.",1,
event_mio_affection,After,,,,,,,,npc,"이 미끼, 내가 제일 아끼는 거다냥. 써 봐.",,,
event_mireille_curious,Event,char_mireille,Curious,loc_animal_pens,6,10,Any,아침 우리,,,,,
event_mireille_curious,Line,,,,,,,,npc,"어머, 일찍 오셨네요~ 양들이 아직 졸려해요.",,,
event_mireille_curious,Line,,,,,,,,npc,"이 아이는 겁이 많아서… 모르는 사람이 오면 숨어요.",,,
event_mireille_curious,Choice,,,,,,,,,천천히 손을 내밀어 볼게.,"어머, 손 냄새를 맡네요~ 벌써 친해졌어요.",5,
event_mireille_curious,Choice,,,,,,,,,억지로 쓰다듬어 볼래.,"아, 도망갔어요… 조금 천천히 해 주세요.",-2,
event_mireille_curious,After,,,,,,,,npc,가축은 마음을 먼저 열어야 해요. 사람도 그렇죠~,,,
event_mireille_trust,Event,char_mireille,Trust,loc_farm_fields,10,13,Any,풀밭 산책,,,,,
event_mireille_trust,Line,,,,,,,,npc,"사실 저, 옛날엔 칼을 들던 사람이었어요.",,,
event_mireille_trust,Line,,,,,,,,npc,"지금은… 양을 지키는 게 더 좋아요. 피는 싫어요.",,,
event_mireille_trust,Choice,,,,,,,,,지금의 네가 좋아.,"…고마워요. 그 말 들으니 풀 냄새가 더 좋아요~",8,
event_mireille_trust,Choice,,,,,,,,,그래도 강하잖아.,"강한 건… 지키는 데만 쓰고 싶어요.",2,
event_mireille_trust,After,,,,,,,,npc,이 얘기는 우리 둘만의 비밀이에요~,,,
event_mireille_affection,Event,char_mireille,Affection,loc_village_square,13,15,Any,양털 목도리,,,,,food_warm_milk:1
event_mireille_affection,Line,,,,,,,,npc,"이거요… 양털로 짠 목도리예요. 아직 반밖에 못 짰지만요.",,,
event_mireille_affection,Line,,,,,,,,npc,겨울이 오기 전에 당신한테 주고 싶어서요~,,,
event_mireille_affection,Choice,,,,,,,,,기다릴게.,"에헤헤… 그럼 밤새 짜야겠네요~",10,
event_mireille_affection,Choice,,,,,,,,,같이 짜 볼까?,정말요? 그럼 제가 코 잡는 법 알려 드릴게요~,8,
event_mireille_affection,After,,,,,,,,npc,"오늘은 따뜻한 우유로 대신할게요. 목도리는 조금만 기다려요~",,,
event_milky_curious,Event,char_milky,Curious,loc_cafe_counter,14,18,Any,오후의 새 메뉴,,,,,
event_milky_curious,Line,,,,,,,,npc,"음~ 새 메뉴를 만들어 봤는데, 맛 좀 봐 줄래요?",,,
event_milky_curious,Line,,,,,,,,npc,우유에 꿀을 조금 넣었어요. 어때요?,,,
event_milky_curious,Choice,,,,,,,,,정말 맛있어!,어머~ 그럼 내일부터 메뉴판에 올릴게요.,5,
event_milky_curious,Choice,,,,,,,,,조금 달아.,솔직해서 좋아요~ 꿀을 조금 줄여 볼게요.,3,
event_milky_curious,After,,,,,,,,npc,손님 의견이 카페를 키우는 거예요. 고마워요~,,,
event_milky_trust,Event,char_milky,Trust,loc_village_square,18,20,Any,저녁 산책,,,,,
event_milky_trust,Line,,,,,,,,npc,"예전에 혼자 가게를 지키다… 무서운 일을 겪었어요.",,,
event_milky_trust,Line,,,,,,,,npc,그 뒤로 해가 지면 문 닫는 게 조금 무서워요.,,,
event_milky_trust,Choice,,,,,,,,,문 닫을 때 들를게.,"정말요…? 그럼 불 하나는 켜 두고 기다릴게요.",8,
event_milky_trust,Choice,,,,,,,,,이 마을은 안전해.,"그렇죠… 요즘은 다들 있으니까요.",3,
event_milky_trust,After,,,,,,,,npc,"이렇게 걷는 저녁이… 좋아졌어요.",,,
