CharacterID,CastWave,BirthdaySeason,BirthdayDay,HomeLocation,WorkLocation
char_lunette,1,Spring,12,loc_home_lunette,loc_forest_edge
char_bellamorta,2,Spring,2,loc_home_bellamorta,loc_alchemy_lab
char_serena,3,Summer,9,loc_home_serena,loc_ruins_library
char_eiri,0,Autumn,16,,
char_rize,0,Winter,23,,
char_liriel,3,Spring,4,loc_home_liriel,loc_forest_fairy_ring
char_mio,1,Summer,20,loc_home_mio,loc_pond_dock
char_ragh,0,Summer,11,,
char_arachne,2,Autumn,18,loc_home_arachne,loc_ruins_library
char_mireille,1,Spring,25,loc_home_mireille,loc_animal_pens
char_erina,0,Winter,25,,
char_milky,1,Winter,8,loc_home_milky,loc_cafe_counter
char_lilica,0,Spring,6,,
char_milu,2,Summer,13,loc_home_milu,loc_pond_dock
char_harka,0,Autumn,20,,
char_beatrice,0,Winter,27,,
char_verona,1,Autumn,3,loc_home_verona,loc_farm_fields
char_kasumi,2,Spring,8,loc_home_kasumi,loc_snow_shrine
char_lichel,1,Winter,21,loc_lichel_camp,loc_market_stall
char_chesca,3,Summer,15,loc_home_chesca,loc_ruins_plaza
char_lanhua,0,Autumn,22,,
char_noctia,0,Winter,3,,
char_seira,2,Spring,10,loc_home_seira,loc_ruins_library
char_dravia,1,Summer,5,loc_home_dravia,loc_smithy_anvil
char_marielle,3,Summer,17,loc_home_marielle,loc_coast_rocks
char_censia,0,Autumn,24,,
char_ravenna,0,Winter,5,,
char_akane,0,Summer,19,,
char_pipi,2,Autumn,26,loc_home_pipi,loc_scrap_yard
char_safira,2,Winter,7,loc_home_safira,loc_desert_camp
char_lumina,3,Spring,14,loc_home_lumina,loc_forest_flower_garden
char_neri,3,Summer,21,loc_home_neri,loc_swamp_hut
char_sharia,0,Autumn,2,,
char_aliune,3,Winter,9,loc_home_aliune,loc_forest_edge
char_octavia,0,Spring,16,,
