PairID,CharacterA,CharacterB,Relation,Row,Speaker,Text
pair_kasumi_akane,char_kasumi,char_akane,Partner,Pair,,
pair_kasumi_akane,,,,Banter1,B,카스미! 오늘 사당 등불은 내가 켤게!
pair_kasumi_akane,,,,Banter1,A,"후후, 지난번처럼 등롱을 부수지만 않으면요."
pair_kasumi_akane,,,,Banter1,B,"그, 그건 바람 탓이었어! 하하하!"
pair_kasumi_akane,,,,Banter2,A,"아카네, 오늘 점괘에 '힘 조심'이 나왔어요."
pair_kasumi_akane,,,,Banter2,B,또?! 그거 매일 나오는 거 아냐?
pair_kasumi_akane,,,,Banter2,A,"후후, 매일 조심하라는 뜻이지요."
pair_kasumi_akane,,,,Mention,A,"아카네가 사당 청소를 도와줘요. …힘이 너무 세서 빗자루가 자주 부러지지만요, 후후."
pair_kasumi_akane,,,,Mention,B,카스미 점괘는 잘 맞아! 근데 나한텐 맨날 '힘 조심'이래!
pair_ragh_lanhua,char_ragh,char_lanhua,Rival,Pair,,
pair_ragh_lanhua,,,,Banter1,B,"라그, 오늘 대련 어떤가."
pair_ragh_lanhua,,,,Banter1,A,…또 봐줄 생각이면 사양하지.
pair_ragh_lanhua,,,,Banter1,B,봐준 적 없다. 자네가 강해졌을 뿐이지.
pair_ragh_lanhua,,,,Banter2,A,"어제 그 발차기, 어떻게 한 거지."
pair_ragh_lanhua,,,,Banter2,B,호흡이다. 힘이 아니라.
pair_ragh_lanhua,,,,Banter2,A,…흠. 다음엔 막아 주지.
pair_ragh_lanhua,,,,Mention,A,"란후아 녀석, 대련에서 또 봐주더군. …다음엔 내가 이긴다."
pair_ragh_lanhua,,,,Mention,B,라그는 좋은 상대다. 지키려는 자의 주먹을 가졌지.
pair_noctia_erina,char_noctia,char_erina,Friend,Pair,,
pair_noctia_erina,,,,Banter1,A,"에리나, 오늘 까마귀들이 당신 이야기를 하더군요."
pair_noctia_erina,,,,Banter1,B,…무슨 이야기지.
pair_noctia_erina,,,,Banter1,A,"후후, 활 솜씨가 좋다고요. 까마귀들도 칭찬은 해요."
pair_noctia_erina,,,,Banter2,B,"노크티아, 약초차 한 잔 얻어 가도 되나."
pair_noctia_erina,,,,Banter2,A,물론이죠. 오늘은 달맞이꽃을 넣었어요.
pair_noctia_erina,,,,Banter2,B,…향이 좋군. 숲이 좋아할 맛이다.
pair_noctia_erina,,,,Mention,A,"에리나는 말이 적지만, 숲에 대해서는 누구보다 잘 알아요. 차 친구로 딱이지요."
pair_noctia_erina,,,,Mention,B,노크티아의 약초차는… 인정하지. 숲의 맛이 난다.
pair_marielle_sharia,char_marielle,char_sharia,Friend,Pair,,
pair_marielle_sharia,,,,Banter1,B,"마리엘! 오늘 파도 좋다, 같이 헤엄칠래?"
pair_marielle_sharia,,,,Banter1,A,음~ 좋아요. 대신 저보다 빨리 가면 안 돼요~
pair_marielle_sharia,,,,Banter1,B,크하하! 그건 약속 못 해!
pair_marielle_sharia,,,,Banter2,A,"샤리아, 어제 조개 캐다가 진주를 봤어요."
pair_marielle_sharia,,,,Banter2,B,진짜? 어디서? 나도 잠수할래!
pair_marielle_sharia,,,,Banter2,A,음~ 비밀이에요. 대신 같이 가요~
pair_marielle_sharia,,,,Mention,A,샤리아는 바다에서 제일 든든한 친구예요. 조금 시끄럽지만요~
pair_marielle_sharia,,,,Mention,B,마리엘 헤엄은 진짜 예뻐. 나보다 빠르진 않지만! 크하!
pair_sharia_octavia,char_sharia,char_octavia,Friend,Pair,,
pair_sharia_octavia,,,,Banter1,A,옥타비아! 오늘도 연못 기록이야?
pair_sharia_octavia,,,,Banter1,B,"네, 오늘은 올챙이 기록이에요. 후후."
pair_sharia_octavia,,,,Banter1,A,올챙이도 적어? 대단하다!
pair_sharia_octavia,,,,Banter2,B,"샤리아, 구조대 이야기를 기록해도 될까요?"
pair_sharia_octavia,,,,Banter2,A,나? 좋아! 멋있게 적어 줘!
pair_sharia_octavia,,,,Banter2,B,그럼 '용감한 상어'로 시작할게요.
pair_sharia_octavia,,,,Mention,A,옥타비아는 뭐든 적어. 내 수영 기록도 있대!
pair_sharia_octavia,,,,Mention,B,샤리아의 구조 기록은 벌써 한 권이 넘어요. 후후.
pair_marielle_octavia,char_marielle,char_octavia,Friend,Pair,,
pair_marielle_octavia,,,,Banter1,B,"마리엘, 심해의 노래를 알고 있나요?"
pair_marielle_octavia,,,,Banter1,A,음~ 할머니가 불러 주셨어요. 들어 볼래요?
pair_marielle_octavia,,,,Banter1,B,기록해도 될까요? 먹물을 준비할게요.
pair_marielle_octavia,,,,Banter2,A,"옥타비아, 오늘 산호가 새로 자랐어요~"
pair_marielle_octavia,,,,Banter2,B,"정말요? 그 모양, 그림으로 남길게요."
pair_marielle_octavia,,,,Banter2,A,음~ 예쁘게 그려 줘요.
pair_marielle_octavia,,,,Mention,A,옥타비아는 바다 이야기를 모으는 친구예요. 제 노래도 적어 줬어요~
pair_marielle_octavia,,,,Mention,B,마리엘의 노래는 제 기록 중에서 가장 아름다운 장이에요.
pair_harka_neri,char_harka,char_neri,Partner,Pair,,
pair_harka_neri,,,,Banter1,B,"하르카! 오늘 밤은 안개가 짙을 거야, 개굴!"
pair_harka_neri,,,,Banter1,A,"알았어! 그럼 순찰 길을 바꿀게, 멍!"
pair_harka_neri,,,,Banter1,B,역시 내 예보는 최고야!
pair_harka_neri,,,,Banter2,A,"네리, 비 냄새 나! 곧 오지?"
pair_harka_neri,,,,Banter2,B,"개굴? …맞아, 두 시간 뒤! 코가 나보다 빠르네!"
pair_harka_neri,,,,Banter2,A,"헤헤, 코는 자신 있어!"
pair_harka_neri,,,,Mention,A,네리 예보는 잘 맞아! 내 코랑 같이 쓰면 안개 속에서도 안 헤매!
pair_harka_neri,,,,Mention,B,"하르카는 비 냄새를 나보다 먼저 맡아! 억울해, 개굴!"
pair_censia_safira,char_censia,char_safira,Partner,Pair,,
pair_censia_safira,,,,Banter1,B,켄시아. 짐.
pair_censia_safira,,,,Banter1,A,"알고 있다. 오아시스 물통 여섯, 약초 두 자루."
pair_censia_safira,,,,Banter1,B,…정확해. 좋아.
pair_censia_safira,,,,Banter2,A,"사피라, 오늘 모래바람 올 것 같나."
pair_censia_safira,,,,Banter2,B,해 질 녘. 서쪽.
pair_censia_safira,,,,Banter2,A,"좋아, 운송은 오전에 끝내지."
pair_censia_safira,,,,Mention,A,사피라는 말이 짧지만 사막 길은 누구보다 정확하게 안다.
pair_censia_safira,,,,Mention,B,켄시아. 믿을 만해. …짐 안 떨어뜨려.
pair_aliune_lunette,char_aliune,char_lunette,Friend,Pair,,
pair_aliune_lunette,,,,Banter1,A,"루네트, 오늘 약초가 잘 자랐어요."
pair_aliune_lunette,,,,Banter1,B,"그, 그러니까요… 저도 봤어요! 잎이 반짝여요."
pair_aliune_lunette,,,,Banter1,A,함께 말려서 약을 만들어요.
pair_aliune_lunette,,,,Banter2,B,"알리우네 씨, 이 풀… 약으로 써도 될까요?"
pair_aliune_lunette,,,,Banter2,A,잎은 좋지만 뿌리는 조심해요. 잘 봤어요.
pair_aliune_lunette,,,,Banter2,B,헤헤… 칭찬받았다…
pair_aliune_lunette,,,,Mention,A,루네트는 약초를 보는 눈이 좋아요. 조금 수줍지만요.
pair_aliune_lunette,,,,Mention,B,"알리우네 씨는… 그러니까요, 약초 선생님 같아요."
pair_liriel_lumina,char_liriel,char_lumina,Friend,Pair,,
pair_liriel_lumina,,,,Banter1,A,루미나! 오늘 꽃밭에 새 꽃이 폈어! 봤어?
pair_liriel_lumina,,,,Banter1,B,…응. 향기로 먼저 알았어요.
pair_liriel_lumina,,,,Banter1,A,역시! 같이 보러 가는 거야!
