ShopID,Owner,Name,OpenLocations,Buys,DailyBuyLimit,Discounts,StockSeed,Greetings,Farewell,CraftLine
shop_milky,char_milky,선셋 카페,loc_cafe_counter,type:Crop:1.0|type:AnimalProduct:1.1|type:Forage:1.0,30,0/0/5/10/15,3101,"어서 와요~ 오늘 메뉴판이에요. 천천히 골라요.|좋은 달걀이나 우유가 있으면 저한테 팔아 줘요. 값은 조금 더 쳐 드릴게요~|따뜻한 걸로 드릴까요? 오늘도 막 데워 뒀어요.",오늘 영업은 여기까지예요~ 내일 또 와요.
shop_dravia,char_dravia,대장간,loc_smithy_anvil,item_iron_ore:1.2|resource_stone:1.0|item_wood:1.0,20,0/0/5/10/15,3202,"필요한 걸 골라. 흥정은 안 받아.|철광석이 있으면 가져와. 값은 제대로 쳐 주지.|도구는 손에 맞는 걸로 골라. 무겁다고 좋은 게 아니야.",화로 불 줄일 시간이다. 내일 와.,도끼를 가져와. 철을 입혀 주지.
shop_lichel,char_lichel,떠돌이 상점,loc_market_stall,type:*:0.8,40,0/0/5/10/15,3303,"흥~ 오늘 물건은 오늘만이야. 잘 골라 봐.|팔 거 있어? 뭐든 사 줄게. 값은… 조금 깎아서.|씨앗은 계절마다 바뀌어. 지금 안 사면 후회한다?","오늘 장사 끝! 내일 또 와, 흥."
shop_bellamorta,char_bellamorta,연금술 공방,loc_alchemy_lab|loc_village_square,item_wild_mushroom:1.3|item_herbal_tea:1.2|type:Forage:1.1,20,0/0/5/10/15,3401,"천천히 골라요. 당신이 뭘 원하는지는… 이미 보이지만.|물약은 오늘 아침에 달인 거예요. 효과는 제가 보증하죠.|버섯이나 약초를 가져오면 값을 조금 더 쳐 줄게요.",오늘 공방은 여기까지. 다음엔 무슨 얼굴로 올지 기대할게요.,재료를 두고 가요. 달이는 건 제 몫이니까.
shop_arachne,char_arachne,지하 공방,loc_ruins_gate|loc_ruins_library,item_plant_fiber:2.0|item_spider_silk:1.2,30,0/0/5/10/15,3402,"어서 와. 실은 오늘 새로 자은 거야.|네 옷차림… 조금만 손보면 훨씬 나아질 텐데.|풀 섬유를 모아 오면 좋은 실로 바꿔 줄게.",오늘 바느질은 끝. 다음에 또 와.,재료만 있으면 금방 짜 줄게. 거미줄처럼 촘촘하게.
shop_milu,char_milu,말랑 젤리 가게,loc_pond_dock|loc_swamp_boardwalk,food_berry:1.5|drink_water_bottle:1.3|type:Crop:1.0,20,0/0/5/10/15,3403,"와아~ 손님이다~ 젤리 먹을래~?|딸기랑 물 가져오면~ 말랑말랑 젤리 만들어 줄게~|열매 모았어~? 미루가 사 줄게~",미루 이제 웅덩이로 갈래~ 또 놀러 와~,재료 주면~ 미루가 꾹꾹 눌러서 만들어 줄게~
shop_kasumi,char_kasumi,사당 공양소,loc_snow_shrine|loc_village_square,type:Forage:1.2,10,0/0/5/10/15,3404,"후후, 사당 앞까지 오다니. 인연이네요.|유부초밥은 오늘 공양하고 남은 거예요. 맛은 보장하죠.|사과나 버섯을 가져오면 좋은 값에 받아 드릴게요, 후후.",등불을 밝힐 시간이에요. 조심히 돌아가요.,
shop_seira,char_seira,해독제 서고,loc_ruins_library,item_wild_mushroom:1.2|type:Forage:1.0,20,0/0/5/10/15,3405,"…독은 아니에요. 해독제예요. 안심하고 사요.|숲 가장자리 버섯을 가져오면 사 줄게요. 연구에 쓰니까.|도서관에선 조용히… 거래도 조용히 해요.",연구 기록할 시간이에요. 다음에 와요.,버섯이랑 차를 주면 해독제를 만들어 줄게요. 조금만 기다려요.
shop_pipi,char_pipi,고철 폐품상,loc_scrap_yard|loc_village_square,item_iron_ore:1.1|resource_stone:1.5|item_wood:1.5|item_scrap_parts:1.2,40,0/0/5/10/15,3406,"헤헤, 손님! 오늘 고철 싸게 줄게. 진짜야!|돌이나 나무 있어? 피피가 제일 좋은 값에 사 줄게!|도끼 곡괭이 다 있어! 흥정은 한 번만 받아!",오늘 장사 끝! 내일 더 좋은 거 주워 올게!,재료랑 수수료만 주면 뚝딱! 피피 솜씨 봐 봐!
shop_safira,char_safira,사막 조제 천막,loc_desert_camp|loc_village_square,item_plant_fiber:1.5|type:Forage:1.0,20,0/0/5/10/15,3407,"…필요한 것만 골라.|사막 연고. 상처엔 이게 제일 빨라.|섬유 가져오면 사 줄게.",…해가 진다. 돌아가.,재료 줘. 금방 섞어.
shop_marielle,char_marielle,파도 소리 가게,loc_coast_rocks|loc_pond_dock,type:Fish:1.2|item_pearl:1.0,20,0/0/5/10/15,3501,음~ 흠~ 어서 와요. 오늘 바다에서 건진 것들이에요.|물고기를 가져오면 좋은 값에 받아 줄게요. 바다 친구들이니까.|진주는 가끔만 나와요… 바다가 기분 좋은 날에만요.,음~ 물때가 바뀌었어요. 내일 또 와요.,
